Team,Player,Number,Positon,G,PTS,REB,AST,STL,TO,PF
Celtics,Brandon Bass,30,Forward-Center,82,10.6,4.9,1.3,0.5,1,1.7
Celtics,Avery Bradley,1,Guard,77,13.9,3.1,1.8,1.1,1.4,2.3
Celtics,Jae Crowder,99,Forward,82,7.7,3.6,1.1,0.9,0.6,1.7
Celtics,Gigi Datome,70,Forward,21,5,1.4,0.4,0.1,0.4,0.7
Celtics,Jonas Jerebko,8,Forward,75,6,3.8,0.9,0.6,0.6,1.8
Celtics,Kelly Olynyk,41,Center-Forward,64,10.3,4.7,1.7,1,1.5,3.3
Celtics,Phil Pressey,26,Guard,50,3.5,1.6,2.3,0.6,0.8,1.1
Celtics,Marcus Smart,36,Guard,67,7.8,3.3,3.1,1.5,1.3,2.6
Celtics,Jared Sullinger,7,Forward,58,13.3,7.6,2.3,0.8,1.3,2.6
Celtics,Isaiah Thomas,4,Guard,67,16.4,2.3,4.2,0.9,2.1,2.2
Celtics,Evan Turner,11,Guard-Forward,82,9.5,5.1,5.5,1,2.4,2.2
Celtics,Gerald Wallace,45,Forward,32,1.1,1.8,0.3,0.5,0.6,0.6
Celtics,James Young,13,Guard-Forward,31,3.4,1.4,0.4,0.3,0.2,0.7
Celtics,Tyler Zeller,44,Center-Forward,82,10.2,5.7,1.4,0.2,0.9,2.5
Nets,Alan Anderson,6,Guard-Forward,74,7.4,2.8,1.1,0.8,0.8,2
Nets,Bojan Bogdanovic,44,Guard-Forward,78,9,2.7,0.9,0.4,1,1.3
Nets,Markel Brown,22,Guard,47,4.6,2.3,0.8,0.7,0.6,1.2
Nets,Earl Clark,55,Forward,10,2.7,2.3,0.3,0.3,0.6,1.2
Nets,Jarrett Jack,1,Guard,80,12,3.1,4.7,0.9,2.4,1.8
Nets,Cory Jefferson,21,Forward,50,3.7,2.9,0.3,0.2,0.4,1.2
Nets,Joe Johnson,7,Forward-Guard,80,14.4,4.8,3.7,0.7,1.7,1.5
Nets,Jerome Jordan,9,Center,44,3.1,2.4,0.3,0.2,0.5,1.3
Nets,Sergey Karasev,10,Guard-Forward,33,4.6,2,1.4,0.7,0.7,1.4
Nets,Brook Lopez,11,Center,72,17.2,7.4,0.7,0.6,1.4,2.9
Nets,Darius Morris,14,Guard,38,2.2,0.7,1.3,0.2,0.6,0.5
Nets,Mason Plumlee,1,Center-Forward,82,8.7,6.2,0.9,0.8,1.3,2.5
Nets,Mirza Teletovic,33,Forward,40,8.5,4.9,1.2,0.4,1.3,1.9
Nets,Deron Williams,8,Guard,68,13,3.5,6.6,0.9,2.3,2.3
Nets,Thaddeus Young,30,Forward,76,14.1,5.4,2.3,1,1,1
Knicks,Quincy Acy,4,Forward,68,5.9,4.4,1,0.4,0.9,2.2
Knicks,Cole Aldrich,45,Center,61,5.5,5.5,1.2,0.6,1,2
Knicks,Lou Amundson,21,Forward,53,4.9,5.1,1.3,0.4,1.2,2.4
Knicks,Carmelo Anthony,7,Forward,40,24.2,6.6,3.1,1,2.2,2.2
Knicks,Andrea Bargnani,77,Center-Forward,29,14.8,4.4,1.6,0.1,1.4,1.8
Knicks,Jose Calderon,3,Guard,42,9.1,3,4.7,0.7,1.8,1.8
Knicks,Cleanthony Early,17,Forward,39,5.4,2.5,0.9,0.6,1,1.5
Knicks,Langston Galloway,2,Guard,45,11.8,4.2,3.3,1.2,1.4,2.9
Knicks,Tim Hardaway Jr.,5,Forward-Center.Guard,70,11.5,2.2,1.8,0.3,1.2,1.7
Knicks,Shane Larkin,1,Guard,76,6.2,2.3,3,1.2,1.1,2
Knicks,Ricky Ledo,11,Guard,17,5.3,2.1,1.1,0.4,1.5,1.2
Knicks,Alexey Shved,1,Guard,42,10.3,2.4,2.5,0.7,1.1,1.1
Knicks,Jason Smith,14,Forward-Center,82,8,4,1.7,0.4,1.3,2.5
Knicks,Lance Thomas,42,Forward,62,7.1,3.1,1.1,0.6,1.2,1.6
Knicks,Travis Wear,6,Forward,51,3.9,2.1,0.8,0.3,0.7,1.1
76ers,Furkan Aldemir,19,Forward-Center,41,2.3,4.3,0.7,0.4,0.4,2.3
76ers,Isaiah Canaan,1,Guard,47,9.2,1.9,2.1,0.6,1.3,1.8
76ers,Robert Covington,33,Forward,70,13.5,4.5,1.5,1.4,1.8,2.7
76ers,Jerami Grant,39,Forward,65,6.3,3,1.2,0.6,1.3,2.2
76ers,Luc Mbah A Moute,12,Forward,67,9.9,4.9,1.6,1.2,1.5,1.6
76ers,Nerlens Noel,4,Center-Forward,75,9.9,8.1,1.7,1.8,1.9,2.8
76ers,Jason Richardson,23,Guard,19,9.1,3.5,2,0.7,0.8,1.5
76ers,Thomas Robinson,41,Forward,54,5.7,5.6,0.6,0.6,1.1,1.9
76ers,Glenn Robinson,1,Guard-Forward,35,2.1,1.1,0.3,0.2,0.3,0.4
76ers,JaKarr Sampson,9,Guard-Forward,74,5.2,2.2,1,0.5,1,1.8
76ers,Henry Sims,35,Center,73,8,4.9,1.1,0.5,1.4,1.8
76ers,Ish Smith,5,Guard,55,6.1,1.8,3.3,0.7,1.4,0.9
76ers,Hollis Thompson,31,Guard-Forward,71,8.8,2.8,1.2,0.8,0.9,2
76ers,Tony Wroten,8,Guard,30,16.9,2.9,5.2,1.6,3.8,2.4
Raptors,Bruno Caboclo,5,Forward,8,1.3,0.3,1,1,0.5,0.4
Raptors,DeMar DeRozan,10,Guard,60,20.1,4.6,3.5,1.2,2.3,2
Raptors,Landry Fields,2,Guard-Forward,26,1.8,1,0.6,0.4,0.3,0.3
Raptors,Tyler Hansbrough,50,Forward-Center,74,3.6,3.6,0.3,0.4,0.3,1.9
Raptors,Charles Hayes,44,Center-Forward,29,1.7,1.8,0.7,0.3,0.3,1.3
Raptors,Amir Johnson,15,Forward,75,9.3,6.1,1.6,0.6,1.5,3
Raptors,James Johnson,3,Forward,70,7.9,3.7,1.4,0.8,1.1,2.2
Raptors,Kyle Lowry,7,Guard,70,17.8,4.7,6.8,1.6,2.5,3
Raptors,Lucas Nogueira,92,Center,6,1,1.8,0.2,0.3,0.3,1
Raptors,Patrick Patterson,54,Forward,81,8,5.3,1.9,0.7,0.7,1.8
Raptors,Terrence Ross,31,Forward-Guard,82,9.8,2.8,1,0.6,0.8,1.7
Raptors,Greg Stiemsma,34,Center,17,0.8,0.9,0.2,0.1,0.4,0.9
Raptors,Jonas Valanciunas,17,Center,80,12,8.7,0.5,0.4,1.4,2.8
Raptors,Greivis Vasquez,21,Guard,82,9.5,2.6,3.7,0.6,1.5,2.2
Raptors,Lou Williams,23,Guard,80,15.5,1.9,2.1,1.1,1.3,1.3
Bulls,Cameron Bairstow,41,Forward-Center,18,0.6,0.4,0.1,0.1,0.2,0.4
Bulls,Aaron Brooks,1,Guard,82,11.6,2,3.2,0.7,1.9,2.3
Bulls,Jimmy Butler,21,Guard-Forward,65,20,5.8,3.3,1.8,1.4,1.7
Bulls,Mike Dunleavy,34,Forward,63,9.4,3.9,1.8,0.6,1,2
Bulls,Pau Gasol,16,Forward-Center,78,18.5,11.8,2.7,0.3,2,1.9
Bulls,Taj Gibson,22,Forward,62,10.3,6.4,1.1,0.6,1.2,2.6
Bulls,Kirk Hinrich,12,Guard,66,5.7,1.8,2.2,0.7,1.1,2.2
Bulls,Doug McDermott,3,Forward,36,3,1.2,0.2,0.1,0.5,0.8
Bulls,Nikola Mirotic,44,Forward,82,10.2,4.9,1.2,0.7,1.1,2.1
Bulls,Nazr Mohammed,48,Center,23,1.2,1.7,0.1,0.2,0.3,0.7
Bulls,E'Twaun Moore,55,Guard,56,2.7,0.8,0.6,0.4,0.3,0.8
Bulls,Joakim Noah,13,Center,67,7.2,9.6,4.7,0.7,1.8,3
Bulls,Derrick Rose,1,Guard,51,17.7,3.2,4.9,0.7,3.2,1.2
Bulls,Tony Snell,20,Forward,72,6,2.4,0.9,0.4,0.7,1.2
Cavaliers,Matthew Dellavedova,8,Guard,67,4.8,1.9,3,0.4,0.9,2.3
Cavaliers,Joe Harris,12,Guard,51,2.7,0.8,0.5,0.1,0.5,1.2
Cavaliers,Brendan Haywood,33,Center,22,1.6,1.3,0.1,0.1,0.5,0.8
Cavaliers,Kyrie Irving,2,Guard,75,21.7,3.2,5.2,1.5,2.5,1.9
