League,Team,Name,Age,Number,Position,Minutes,Goals,Assists,SV%,Yellow Cards,Red Cards
MLS,Chicago Fire,Harry Shipp,23,19,M,450,1,3,0,0,0
MLS,Chicago Fire,Shaun Maloney,32,10,M,360,1,1,0,1,0
MLS,Chicago Fire,Joevin Jones,23,3,D,399,1,1,0,0,0
MLS,Chicago Fire,Adailton,32,4,D,360,1,0,0,1,0
MLS,Chicago Fire,Jeff Larentowicz,31,20,M,450,1,0,0,0,0
MLS,Chicago Fire,Alec Kann,24,1,GK,0,0,0,0,0,0
MLS,Chicago Fire,Collin Fernandez,18,17,M,0,0,0,0,0,0
MLS,Chicago Fire,Greg Cochrane,24,16,D,0,0,0,0,0,0
MLS,Chicago Fire,Kingsley Bryce,22,27,F,0,0,0,0,0,0
MLS,Chicago Fire,Mike Magee,30,9,F,0,0,0,0,0,0
MLS,Chicago Fire,Patrick Doody,22,22,D,0,0,0,0,0,0
MLS,Chicago Fire,Patrick Nyarko,29,14,M,0,0,0,0,0,0
MLS,Chicago Fire,Razvan Cocis,32,30,M,0,0,0,0,0,0
MLS,Chicago Fire,Victor Perez Alonso, 27,15,M,2,0,0,0,0,0
MLS,Chicago Fire,Guly do Prado,33,23,F,54,0,0,0,1,0
MLS,Chicago Fire,Matt Watson,30,8,M,80,0,0,0,0,0
MLS,Chicago Fire,David Accam,24,11,F,135,0,0,0,0,0
MLS,Chicago Fire,Chris Ritter,24,21,M,145,0,0,0,0,0
MLS,Chicago Fire,Jon Busch,38,18,GK,180,0,0,67,0,0
MLS,Chicago Fire,Kennedy Igboananike,26,77,F,208,0,0,0,1,0
MLS,Chicago Fire,Sean Johnson,25,25,GK,270,0,0,64,1,0
MLS,Chicago Fire,Michael Stephens,26,26,M,281,0,0,0,0,0
MLS,Chicago Fire,Matt Polster,21,2,D,354,0,0,0,2,0
MLS,Chicago Fire,Lovel Palmer,30,5,D,360,0,0,0,0,0
MLS,Chicago Fire,Quincy Amarikwa,27,24,F,404,0,0,0,0,0
MLS,Chicago Fire,Eric Gehrig,27,6,D,450,0,0,0,1,0
MLS,Colorado Rapids,Gabriel Torres,26,10,F,524,2,1,0,0,0
MLS,Colorado Rapids,Dillon Powers,24,8,M,427,1,2,0,1,0
MLS,Colorado Rapids,Dillon Serna,21,17,M,117,1,0,0,1,0
MLS,Colorado Rapids,Dominique Badji,22,14,F,281,1,0,0,1,0
MLS,Colorado Rapids,Juan Ramirez,21,15,M,338,0,1,0,0,0
MLS,Colorado Rapids,Marcelo Sarvas,33,11,M,462,0,1,0,1,0
MLS,Colorado Rapids,Ben Newnam,24,13,D,0,0,0,0,0,0
MLS,Colorado Rapids,Caleb Calvert,18,29,F,0,0,0,0,0,0
MLS,Colorado Rapids,Charles Eloundou,20,19,F,0,0,0,0,0,0
MLS,Colorado Rapids,John Berner,24,12,GK,0,0,0,0,0,0
MLS,Colorado Rapids,Marlon Hairston,21,94,M,0,0,0,0,0,0
MLS,Colorado Rapids,Zac MacMath,23,18,GK,0,0,0,0,0,0
MLS,Colorado Rapids,Carlos Alvarez,24,57,M,31,0,0,0,0,0
MLS,Colorado Rapids,Nick LaBrocca,30,2,M,42,0,0,0,0,0
MLS,Colorado Rapids,Shane O'Neill,21,27,D,106,0,0,0,0,0
MLS,Colorado Rapids,Axel Sjoberg,24,44,D,180,0,0,0,1,0
MLS,Colorado Rapids,Drew Moor,31,3,D,180,0,0,0,0,0
MLS,Colorado Rapids,Jared Watts,23,33,M,180,0,0,0,1,0
MLS,Colorado Rapids,Vicente Sanchez,35,7,F,232,0,0,0,0,0
MLS,Colorado Rapids,Sam Cronin,28,6,M,238,0,0,0,0,0
MLS,Colorado Rapids,James Riley,32,16,D,260,0,0,0,0,0
MLS,Colorado Rapids,Marc Burch,30,4,D,270,0,0,0,1,0
MLS,Colorado Rapids,Bobby Burling,20,23,D,428,0,0,0,1,1
MLS,Colorado Rapids,Clint Irwin,,26,1,GK,540,0,0,78,0,0
MLS,Colorado Rapids,Lucas Pittinari,23,22,M,540,0,0,0,0,1,0
MLS,Colorado Rapids,Michael Harrington,29,5,D,540,0,0,0,0,1,0
MLS,Columbus Crew,Kei Kamara,30,23,F,534,4,1,0,0,0
MLS,Columbus Crew,Justin Meram,26,9,F,340,2,1,0,0,0
MLS,Columbus Crew,Federico Higuain,30,10,M,428,1,1,0,2,1
MLS,Columbus Crew,Tony Tchani,26,6,M,440,1,0,0,2,0
MLS,Columbus Crew,Ethan Finlay,24,13,M,476,0,3,0,0,0
MLS,Columbus Crew,Wil Trapp,22,20,M,225,0,1,0,0,0
MLS,Columbus Crew,Waylon Francis,24,14,D,245,0,1,0,0,0
MLS,Columbus Crew,Adam Bedell,23,29,F,0,0,0,0,0,0
MLS,Columbus Crew,Ben Swanson,17,26,M,0,0,0,0,0,0
MLS,Columbus Crew,Brad Stuver,24,41,GK,0,0,0,0,0,0
MLS,Columbus Crew,Kalen Ryden,24,22,D,0,0,0,0,0,0
MLS,Columbus Crew,Matt Lampson,25,28,GK,0,0,0,0,0,0
MLS,Columbus Crew,Romain Gall,20,19,M,0,0,0,0,0,0
MLS,Columbus Crew,Sergio Campbell,23,24,D,0,0,0,0,0,0
MLS,Columbus Crew,Kevan George,25,12,M,14,0,0,0,1,0
MLS,Columbus Crew,Aaron Schoenfeld,25,18,F,24,0,0,0,0,0
MLS,Columbus Crew,Chad Barson,24,21,D,43,0,0,0,0,0
MLS,Columbus Crew,Tyson Wahl,31,2,D,90,0,0,0,1,0
MLS,Columbus Crew,Ben Speas,24,17,F,106,0,0,0,0,0
MLS,Columbus Crew,Hector Jimenez,26,16,M,133,0,0,0,1,0
MLS,Columbus Crew,Kristinn Steindorsson,24,7,M,207,0,0,0,0,0
MLS,Columbus Crew,Chris Klute,25,3,D,264,0,0,0,0,0
MLS,Columbus Crew,Mohammed Saeid,24,8,M,391,0,0,0,1,0
MLS,Columbus Crew,Hernan Grana,30,27,D,443,0,0,0,1,0
MLS,Columbus Crew,Emanuel Pogatetz,32,5,D,450,0,0,0,1,0
MLS,Columbus Crew,Michael Parkhurst,31,4,D,540,0,0,0,0,0
